Verified,Helpful,Title,Body,Rating,Variation,Style
yes,yes,Great coverage lightweight and lasts all day,Great product although very long wait to be shipped - waited a month! Usually use ivory in any foundation and could have went shade darker in this. Lightweight and buildable great coverage.,5,B08GR51PZG,Color Name: ivory 20
yes,yes,Love it!,"I've been using W3 L'oreal Lumi for years and this is even better... the color, ease of use and coverage. I'd never tried a powder foundation before and now I'm hooked!",5,B08GR52XQ3,Color Name: golden beige 140
yes,yes,❤️🥰🥰😍me encanto,Es perfecro paea mi comor es mi piel color trigueña  claro color canela pero clara me gusto es mi tono❤️🥰 gracias a la prueba foto ellos usa me ayudo,5,B08GR6G3V4,Color Name: radiant sand 250
yes,yes,Game changer,I read the reviews and did some research on best product for my skin and took the plunge and ordered this. I love freaking love this stuff! It doesn't take much and the coverage is amazing. Try it please! I will be reordering this and stocking up!,5,B08GR64MJ2,Color Name: true beige 130
yes,yes,HYPE ?  NO ITS INCREDIBLE,This is INCREDIBLE.  if you are looking for a truly COOL toned excellent buildable photo finish foundation this is it. Number 5 pearl is fantastic.  NO YELLOW TONE.,5,B08GR69YJX,Color Name: pearl 5
yes,yes,Absolute must have!!!!,This is amazing! It has excellent coverage. I just use a primer then this and it looked gorgeous. Definitely will buy again.,5,B08GR51PZG,Color Name: ivory 20
yes,yes,You better get you some,When I say this was a perfect match it was and then way it applied to my skin was baffling. I usually have a problem with it being chunky or cake looking but this is far above the rest! Will purchase time and time again!,5,B08GR514T1,Color Name: sand 220
yes,yes,Great coverage not to heavy!,Tik Tok made me buy this guys and I give it a 10. Great coverage not to heavy comparable to Palladio if you’ve tried there pressed powder.Go for it !,5,B08GR51PZG,Color Name: ivory 20
yes,yes,Arrived broken,"I ordered 2, one of these arrived broken",5,B08GRK7DPY,Color Name: radiant honey 245
yes,yes,Best Product Ever!,Everything everyone is raving about. Love this product!,5,B08GR6B8HN,Color Name: vanilla 120
yes,yes,Great!,"My favorite powder foundation! Great application, would recommend for neutral skin.",5,B08GR6B8HN,Color Name: vanilla 120
yes,yes,IT CAME ON PIECES,THE PACKAGE WAS NOT GOOD ENOUGHT THAT WAS DELIVER ALL BROKE LITERALLY IN POWDER.,5,B08GR64MJ2,Color Name: true beige 130
yes,yes,Best to apply with brush,I’ve bought a couple shades of this powder and I’ve grown to love it. It’s a nice dupe for the Fenty powders. I think the best way to apply this is with a brush though.,5,B08GR521W1,Color Name: sienna 355
yes,yes,Very good!!!,Value for money!,5,B08GR52XQ3,Color Name: golden beige 140
yes,yes,"Very good, will definitely buy it again","Very good, will definitely buy it again",5,B08GR5ZKVR,Color Name: ivory buff 125
yes,yes,Will buy again,wow so nice i love this new product,5,B08GR4R4DM,Color Name: deep amber 375
-,yes,Excellent foundation in an easy to apply powder...,"I stopped using powder a few years ago because my skin started getting really dry. After moisturizing, powder wouldn’t spread easily so I’d have patches of powder but not a clean, smooth look. I went back to using foundation. I also tried using powder on top of that & still ended up with patchy areas.This L’Oreal product is a full matte foundation in a powder & I hadn’t tried that in years. I only had experience using powder foundation when Avon put one out many years ago & I wasn’t happy with the results. But nothing gained, nothing lost so I ordered this & I’m very glad I did.When it first came in, I put this on my bare face, mainly as a test to see what the coverage was going to be like. It was easy to apply with the sponge that’s kept underneath the powder product in the compact. There’s also a mirror in the bottom compartment.Several hours later, I checked & the powder looked just like it did when I applied it. I had to remove it with makeup remover. The coverage had been quite good.The next day, I put my skin treatment on my face following up with moisturizer. I let it settle in for a few minutes while I got dressed. Then I used the powder. It went on smoothly with no uneven patches anywhere. It covered well. I am very fortunate to have pretty clear skin & other than a few lines & small wrinkles I don’t have a lot to cover. Infallible Fresh Wear Powder Foundation doesn’t settle into the lines on my face & the pores on my nose are almost non-existent.This powder foundation covered every little discoloration on my skin, evened out my skin tone on my eyelids & under my eyes. The coverage was pretty great. My skin didn’t look cakey, just smooth with even skin tone. And it lasted all day & well into the evening. I’d guesstimate that it was over 14 hours.It came off completely & easily with makeup remover. I’ve had the same results every time I’ve used this product. Let the moisturizer settle in before using the powder to get the best results. I didn’t have to touch up at all during the whole time I was wearing the powder.I got Ivory Buff & the match is perfect & the color blended very well. I swept it along the jaw line to see if there was a mark of demarcation. There wasn’t. I could spread it down my neck with no obvious point where the color stopped or started.I’m very pleased with this foundation powder. I’d been sold on my old foundation & it wore well but I didn’t get the coverage I do with this powder. I also can use it on my eyelids & under my eyes, replacing concealer & eyeshadow primer. It goes on easy without caking, clogging pores or uneven coverage. It’s a pretty amazing product & one I’ll stick with.",5,B08GR64MJ2,Color Name: true beige 130
-,yes,A miracle powder...,"I never thought that I could forego liquid foundation until I tried this L'Oreal Paris Infallible Fresh Wear Foundation in a Powder. It is a creamy formula that starts out like a regular powder but transforms into this amazing foundation that blurs any imperfections on my skin. It is transfer proof, sweat proof, and it really does last all day. It does not cling to my dry patches or look cakey either. I use a moisturizer first then this foundation powder, and my skin has not looked better. I was on the fence about this product, but now I am glad I took a leap of faith and tried it. L'Oreal products never let me down.",5,B08GR64MJ2,Color Name: true beige 130
-,yes,Great coverage; not a fan of the compact design.,"I got the color 130 true beige. I usually use ivory foundations.  This is slightly lighter than what I usually use but blends in well.It has good coverage, surprisingly covers blemishes well.I'm not a fan of the compact. I really don't like the sponge and mirror being in a separate compartment as the powder. The sponge was also squished in the hinge so it's a little deformed.Blush and highlighter or contouring powder doesn't show up as bright or strongly on this as it does any of the liquid foundations that I have.But for a quick addition to my morning routine its perfect to quickly cover up spots and get out the door.",5,B08GR64MJ2,Color Name: true beige 130
-,yes,Covers Well but Without Heaviness,"I am not someone who can just put on a little gloss, mascara and powder and call it good.  I do not feel comfortable going out unless I am fully ""done"".  I will say, I used this several times over the weekend as my powder over my liquid foundation.  It was nice and light and made my foundation look flawless (as flawless as you can be at 52).  No cakiness whatsoever.  I used it once without foundation and it really did hide the redness on my face.",5,B08GR64MJ2,Color Name: true beige 130
-,yes,My new favorite powder,I love this powder. It feels light on your skin but it had full coverage. It lasts all day even on the hotter muggy days. I would say this is a great alternative to the higher priced brands and this gives similar results.,5,B08GR64MJ2,Color Name: true beige 130
-,yes,Great powder foundation!,This is great stuff!It’s the right amount of lasting coverage that I need for day to day use. It’s nice and smooth.I like it. The shade is good also.Mine did arrive broken all to pieces but it’s still usable.,5,B08GR64MJ2,Color Name: true beige 130
yes,-,Great coverage,It really does have great coverage however you can definitely put too much on as a result . I usually start my day with a liquid foundation and even though I work at a desk I end up a lil bit shiny and go over with this and it’s great,5,B08GR5ZKVR,Color Name: ivory buff 125
yes,-,Finally a super product,I waited for a long time for this product.  It works amazing and coverage is awesome. Finally found a product that works for my skin tone.,5,B08GR4R4DM,Color Name: deep amber 375
yes,-,Colour was exactly as shown!,"I wasn’t 100% sure that the colour would be what I needed, but it was exactly what I needed! Very happy with your product!!",5,B08GR52XQ3,Color Name: golden beige 140
yes,-,Fabulous,This product is great. I’ve tried many high end brands and I love the cheaper one. Great for oily skin.,5,B08GR5ZKVR,Color Name: ivory buff 125
yes,-,Amazing,Wow! The coverage is amazing on this powder! It’s even better than the Make Up For Ever which is far more expensive. I recommend.,5,B08GR69YJX,Color Name: pearl 5
yes,-,Amazing,"This product is worth the hype, I love it",5,B08GR69YJX,Color Name: pearl 5
yes,-,Love It !!,"Wish it wasn't so difficult to find, I would buy more. Love the coverage, very smooth and creamy.",5,B08GR521VL,Color Name: linen 180
yes,-,Works perfectly,Excelent products  I recommend  👌 works perfectly  thanks 😊,5,B08GRK7DPY,Color Name: radiant honey 245
yes,-,Item as described,Item was as described,5,B08GR52XQ3,Color Name: golden beige 140
yes,-,Fast shipping,"Fast shipping, this looks great",5,B08GRK7DPY,Color Name: radiant honey 245
yes,-,Foundation,"Beautiful colour, spreads evenly, makes your face look glow",5,B08GR521W1,Color Name: sienna 355
yes,-,Perfect,Perfect match and texture.,5,B08GR64MJ2,Color Name: true beige 130
yes,-,Shades are perfect as description.,"Like it, prefect shades for me.",5,B08GRK7DPY,Color Name: radiant honey 245
yes,-,Really good product,I'm happy to purchase this one,5,B08GR514T1,Color Name: sand 220
yes,-,Full coverage,This powder is actually full coverage but leaves you NOT looking cakey,5,B08GR69H8P,Color Name: porcelaine 10
yes,-,Nice shade,"lasts long, a little dry though.",5,B08GR64MJ2,Color Name: true beige 130
yes,-,amazing,best powder around,5,B08GR58ZBR,Color Name: golden sun 260
yes,-,Amazing powder,Perfect powder,5,B08GR52XQ3,Color Name: golden beige 140
yes,-,Beautiful finish,Love the coverage,5,B08GR69H8P,Color Name: porcelaine 10
yes,-,Pleasantly suprised,"I saw this product on a reviews page and thought I'd try it. Managed to pick the right color first time around. I was nicely suprised that on my day off I could use this after simply washing my face and moisturizing. Nice and easy application. It's definitely buildable. Covers nicely and is matting. I probably wouldn't use this to replace my foundation or powder in my normal actual routine make up, but for a quick face of make up, this is great. And it's great for a touch up since it has that foundation base.",5,B08GR69H8P,Color Name: porcelaine 10
yes,-,Fantastic Foundation,"While I don’t find the colors to be all that accurate in the provided photos -these go on a bit differently than the photos made them seem they would -I finally hit pay dirt on the third purchase. Now that I’ve found my true color, I LOVE this foundation! Very good coverage, and especially for a powder, though the powder does seem to have a slight creaminess to it. This can be as sheer, or fuller coverage as you make it. I have oily skin, and the staying power is fantastic, and doesn’t break me out. Love this foundation!",5,B08GR58ZBR,Color Name: golden sun 260
yes,-,As good as liquid,"Okay, let me start by saying I never leave actual reviews. I have cystic acne scars which on my tone are red/purple. This covers it! It covers my redness and evens out skin tone. Not using liquid foundation has improved my skin so much and I’m pretty shocked at how long this lasts. I do have oily skin so I have to touch up half the day with setting powder but that’s my norm. This does have a pretty strong scent but does dissipate. I’m definitely going to stock up on this!",5,B08GR51PZG,Color Name: ivory 20
yes,-,"Great, light foundation with powder-like finish","This product delivers everything it promises. It's easy to apply and stays on all day. Moreover, it is light enough to wear in hot weather, and it can be layered for more coverage, without looking too cakey. The sponge applicator works, but it does need to be cleaned fairly often. Overall, a great product that I will continue to purchase. One caveat: The colors, if ordered online, tend to be a tad lighter than pictured. I will need to go darker for the summer months. I highly recommend this product.",5,B08GR52XQ3,Color Name: golden beige 140
yes,-,Believe the hype,I am a tough critic especially on powder foundation...  I think for the price especially this by far is the best one I've personally ever used. I use it whenever I am in a hurry and don't want people thinking I'm a zombie lol.... I also use it to add a little extra coverage when needed with my liquid foundation.  This stuff is great addition to your purse,5,B08GR51PZG,Color Name: ivory 20
yes,-,Good Coverage and Finish,I love this powder. I personally wear it over my liquid foundation to add coverage although I have heard it's good enough to use on its own. I like how it adds coverage with a satin finish without being cakey. Also you only need a small amount each time so the product lasts very long. This could probably last me a year if I wore it daily.,5,B08GR69H8P,Color Name: porcelaine 10
yes,-,L’Oréal fresh wear powdered foundation,"I bought L’Oréal fresh wear infallible powdered foundation for the first time. I have to rate it five stars.! I absolutely enjoyed wearing it on my face for hours of hard work and sweat. Is buildable, and it is not sheer but has a matte tone to it. I purchased two and if I was gifted one for free I would so very much appreciate it in the tone porcelain or fair. Thanks:)",5,B08GR69YJX,Color Name: pearl 5
yes,-,Good price for Good Quality,Loreal has a good product with this Foundation powder.  Don't use the pad that comes with it or your face will be caked!  You need to apply with a big brush for a good coverage.  It is a quite a stretch that Loreal calls it 24 HR Wear...  I would say at the most 4 hours if you have oily skin or are in a humid environment.,5,B08GR58ZBR,Color Name: golden sun 260
yes,-,Holy Grail,"This is my Holy Grail of setting powders. It lasts all day and always looks so fresh. I’ve never had it look cakey or dry, and I have dry skin.I apply with a brush, and it really does give my makeup and airbrushed finish. I hope they never discontinue this!",5,B08GR51PZG,Color Name: ivory 20
yes,-,New Summer Holy Grail Foundation,This Foundation is fantastic! I was looking for a foundation for the hot weather. I am outside quite a bit in the heat and I’m oily so Foundations tends to melt off my face. this is perfect it stays matte and it’s really easy to touch up if needed. I got one for home and for work so I’m never without it. great color match too! I highly recommend!,5,B08GR521VL,Color Name: linen 180
yes,-,Try this Powder formula!,"Wow, affordable but  acts like high end! Love it. Melts into the skin like a second layer of flawlessness! This powder foundation is worth the hype! Get it you won't be sorry. Only 1 slight complaint.. Doesn't last more then 8 hours without a oil blot and touch up though.",5,B08GR521VL,Color Name: linen 180
yes,-,Nice.,"The shade Radiant Honey is a very close match to a MAC powder foundation I’ve been using (NC35). I received mines cracked like the other pictures that came with the review on here. However, there are plenty YouTube tutorials that shows how to fix cracked/crumbling eyeshadows in a pot with rubbing alcohol which works for powder foundation in a compact as well- which is what I did.",5,B08GRK7DPY,Color Name: radiant honey 245
yes,-,Good product!,"I like the porcelain color on my fair skin. This product has a sheer yet build-able coverage and a very fine powder consistency that can be used as a stand alone light to medium coverage foundation, finishing powder or on eyelids before eye-shadow application. Wears well for hours.",5,B08GR69YJX,Color Name: pearl 5
yes,-,Favorite powder foundation and setting powder,"I had return this product becuase I chose the wrong color but after finding my correct shade, I fell in love with the powder foundation!  I love to put it over my liquid foundation as a truly full cover make up day. It helps keep my make put all day and night! It's comfortable and beautiful. I have dry skin so I'd recommend putting plenty of moisturizer before applying this dryer product but other than that, it's fantastic.",5,B08GR514T1,Color Name: sand 220
yes,-,Covers completely without the mess of a creme foundation.,"Working in health care I wear a mask for 10 hrs a day. I still wanted coverage ,but the creme foundations were clogging my pores. This sheer powder foundation is great. It goes on smooth,and the coverage is amazing. At the end of my shift it still looks great no fading or crease lines.",5,B08GR64MJ2,Color Name: true beige 130
yes,-,Great product but was damaged upon delivery,"I love this product, it is the correct color/tone for my skin tone, goes on smooth and light.  Even though, upon opening the package upon delivery, the compact powder was broken, I was still able to try this product.",5,B08GRK7DPY,Color Name: radiant honey 245
yes,-,Fantastic item to have in your makeup collection!,"Quality item and is everything we hoped for! My daughter wanted this, so I ordered one for each of us and we are very pleased. Goes on beautiful and blends without effort!  Neither of us want to spend lots of time doing makeup and this is perfect!Will definitely buy again!",5,B08GR69YJX,Color Name: pearl 5
yes,-,"Use as powder, not foundation","Use as a powder, not foundation and your makeup will last so long with this! I pair this with the liquid infallible foundation or the colourpop pretty fresh and use a big fluffy brush and set the whole face with just a little of this and my makeup lasts all day, even under a mask!",5,B08GR5ZKVR,Color Name: ivory buff 125
yes,-,Great product for your buck,"This is a great powder foundation, works better than the big and expensive brands, it is full coverage, easy to wear, doesn’t look heavy in your face, it blends very well with other make up products. Totally worth it.",5,B08GR514T1,Color Name: sand 220
yes,-,All the rage face powder!,"My daughter loves this poweder! She’s always trying powders that her friends use or are trending and she always come backs to this one! It blends easily, doesn’t cause breakouts and has a nice coverage and natural finish! It lasts all day and I love the price point!",5,B08GR69H8P,Color Name: porcelaine 10
yes,-,"My opinion, not for dry skin","Well..its very cakey...BUT i figured how to use it for myself. Just a make-up brush i put on. If i use the little make-up pad it comes with, feels cakey and at sometimes lime its drying my face. I love it on top of my liquid foundation, again when applied with a brush",5,B08GR64MJ2,Color Name: true beige 130
yes,-,Great coverage with a lightweight feel,"I saw this powder foundation on a video and took a chance purchasing it on Amazon. To my surprise, it’s lightweight, but has amazing coverage. I’ll definitely be purchasing this again.",5,B08GR51PZG,Color Name: ivory 20
yes,-,LOVE!,I thought it would just be a powder but was pleasantly surprised! I put it on and it completely covered my flaws. It is light wearing but I had to get another color to match my skin tone. I still really lived this product A LOT!,5,B08GR64MJ2,Color Name: true beige 130
yes,-,Who needs foundation in the summer?,LOVE this stuff ... couple of swipes over moisturizer and I fit for public viewing!  Great coverage and colors.  If I want even more serious coverage the Infallible matte liquid foundation plus this will hide all for all day with no shine!,5,B08GR514T1,Color Name: sand 220